i,j,value
-13,2,0.0325729
-13,3,0.0315191
-13,4,0.0302264
-13,5,0.0287309
-13,6,0.0270712
-13,7,0.025288
-13,8,0.0234215
-13,9,0.0215108
-13,10,0.0195923
-13,11,0.0176988
-13,12,0.015859
-13,13,0.0140968
-13,14,0.0124314
-13,15,0.0108769
-13,16,0.0094429
-13,17,0.00813463
-13,18,0.00695349
-13,19,0.00589754
-13,20,0.00496206
-13,21,0.0041401
-13,22,0.00342294
-13,23,0.0028006
-13,24,0.00226221
-13,25,0.00179634
-13,26,0.00139123
-13,27,0.00103499
-13,28,0.000715721
-13,29,0.000421588
-13,30,0.000140874
-13,31,0
-12,-31,0
-12,-30,0.00023284
-12,-29,0.00041606
-12,-28,0.000636037
-12,-27,0.000906661
-12,-26,0.00124261
-12,-25,0.00165925
-12,-24,0.00217236
-12,-23,0.00279766
-12,-22,0.00355026
-12,-21,0.00444385
-12,-20,0.00548984
-12,-19,0.00669638
-12,-18,0.00806744
-12,-17,0.0096019
-12,-16,0.0112927
-12,-15,0.0131265
-12,-14,0.015083
-12,-13,0.0171354
-12,-12,0.0192507
-12,-11,0.0213901
-12,-10,0.023511
-12,-9,0.0255673
-12,-8,0.0275123
-12,-7,0.0292995
-12,-6,0.0308853
-12,-5,0.0322303
-12,-4,0.0333013
-12,-3,0.0340722
-12,-2,0.0345257
-12,-1,0.0346533
-12,0,0.034456
-12,1,0.0339435
-12,2,0.0331341
-12,3,0.0320533
-12,4,0.0307326
-12,5,0.0292084
-12,6,0.0275198
-12,7,0.0257076
-12,8,0.0238123
-12,9,0.0218733
-12,10,0.0199269
