i,j,value
-15,1,-1.59864
-15,2,-1.55682
-15,3,-1.48654
-15,4,-1.39329
-15,5,-1.2835
-15,6,-1.16369
-15,7,-1.03985
-15,8,-0.916968
-15,9,-0.798909
-15,10,-0.688411
-15,11,-0.587206
-15,12,-0.496195
-15,13,-0.415633
-15,14,-0.345296
-15,15,-0.284636
-15,16,-0.232896
-15,17,-0.189207
-15,18,-0.152656
-15,19,-0.122341
-15,20,-0.0973977
-15,21,-0.0770262
-15,22,-0.0605
-15,23,-0.0471708
-15,24,-0.0364668
-15,25,-0.0278884
-15,26,-0.0210005
-15,27,-0.0154235
-15,28,-0.0108236
-15,29,-0.00690141
-15,30,-0.00338129
-15,31,0
-14,-31,0
-14,-30,-0.0010262
-14,-29,-0.00224903
-14,-28,-0.00382531
-14,-27,-0.00594551
-14,-26,-0.00884665
-14,-25,-0.0128261
-14,-24,-0.0182562
-14,-23,-0.0255992
-14,-22,-0.0354223
-14,-21,-0.0484115
-14,-20,-0.0653827
-14,-19,-0.0872896
-14,-18,-0.115224
-14,-17,-0.150411
-14,-16,-0.194183
-14,-15,-0.24795
-14,-14,-0.313138
-14,-13,-0.391103
-14,-12,-0.483018
-14,-11,-0.58971
-14,-10,-0.711459
-14,-9,-0.847754
-14,-8,-0.997003
-14,-7,-1.15623
-14,-6,-1.32082
-14,-5,-1.48437
-14,-4,-1.6388
-14,-3,-1.77484
-14,-2,-1.88298
-14,-1,-1.95479
-14,0,-1.98437
-14,1,-1.96948
-14,2,-1.91194
-14,3,-1.81726
-14,4,-1.69351
-14,5,-1.54989
-14,6,-1.39544
-14,7,-1.23807
-14,8,-1.08408
-14,9,-0.938103
-14,10,-0.803158
-14,11,-0.680969
-14,12,-0.572229
-14,13,-0.476879
-14,14,-0.394337
-14,15,-0.323693
-14,16,-0.263846
-14,17,-0.213619
-14,18,-0.171827
-14,19,-0.13733
-14,20,-0.109067
-14,21,-0.0860705
-14,22,-0.067477
-14,23,-0.0525242
-14,24,-0.0405471
-14,25,-0.03097
-14,26,-0.0232954
-14,27,-0.0170925
-14,28,-0.0119845
-14,29,-0.00763559
-14,30,-0.00373827
-14,31,0
-13,-31,0
-13,-30,-0.00116969
-13,-29,-0.00256019
-13,-28,-0.00434871
-13,-27,-0.00675015
-13,-26,-0.0100318
-13,-25,-0.0145293
-13,-24,-0.0206635
-13,-23,-0.0289582
-13,-22,-0.0400587
-13,-21,-0.0547489
-13,-20,-0.0739675
-13,-19,-0.0988207
